Chromosome,Start,End,Strand,P-RING1B,KO-RING1B,log2('P-RING1B' divided by 'KO-RING1B'),P-BMI,KO-BMI,log2('P-BMI' divided by 'KO-BMI'),P-SUZ12,KO-SUZ12,log2('P-SUZ12' divided by 'KO-SUZ12'),KO-MEL18,P-MEL18,log2('P-MEL18' divided by 'KO-MEL18'),P-H3K27Me3,KO-H3K27Me3,log2('P-H3K27Me3' divided by 'KO-H3K27Me3'),P-CBX4,KO-CBX4,log2('P-CBX4' divided by 'KO-CBX4'),P-CBX8,KO-CBX8,log2('P-CBX8' divided by 'KO-CBX8'),P-RYBP,KO-RYBP,log2('P-RYBP' divided by 'KO-RYBP'),Gene Name,Nearest Ensembl,,
chr6,372497,375254,+,1.78,2.14,-0.27,2.79,3.01,-0.11,4.94,3.41,0.53,4.44,1.65,-1.43,23.71,726.38,-4.94,1.86,1.70,0.13,1.66,7.34,-2.14,1.70,1.33,0.36,IRF4,ENSG00000137265,,
chr7,1808937,1812658,+,2.04,1.03,0.98,2.57,1.65,0.64,7.20,1.47,2.29,2.50,1.39,-0.85,23.69,145.38,-2.62,3.27,1.47,1.15,1.78,2.82,-0.66,3.55,1.38,1.36,MIR4655,ENSG00000265089,,
chr17,35763994,35765492,+,4.21,2.94,0.52,3.30,3.44,-0.06,5.30,2.09,1.34,4.79,2.20,-1.12,23.68,453.72,-4.26,2.89,2.59,0.16,2.25,6.92,-1.62,2.61,2.17,0.27,C17orf50,ENSG00000270806,,
chr20,44825335,44833260,+,3.78,2.72,0.47,5.51,4.12,0.42,5.32,1.81,1.56,7.02,3.00,-1.23,23.67,441.47,-4.22,4.16,2.12,0.97,3.73,9.65,-1.37,1.33,1.19,0.16,RIMS4,ENSG00000101098,,
chr6,70955495,70958825,+,2.69,1.51,0.84,3.48,2.39,0.54,5.66,2.12,1.41,3.45,1.79,-0.95,23.66,384.65,-4.02,3.08,1.38,1.16,2.54,4.11,-0.69,3.21,1.70,0.91,B3GAT2,ENSG00000112309,,
chr16,49967877,49973170,+,2.45,1.82,0.43,3.11,3.35,-0.11,4.71,1.72,1.46,4.24,1.84,-1.21,23.65,464.39,-4.30,2.73,1.56,0.81,2.17,6.17,-1.51,1.57,1.20,0.39,CNEP1R1,ENSG00000205423,,
chr4,183798172,183801487,+,2.24,1.44,0.63,2.42,2.76,-0.19,2.55,2.26,0.17,4.01,1.48,-1.44,23.60,397.95,-4.08,1.87,1.26,0.57,1.91,6.78,-1.83,1.04,0.85,0.29,STOX2,ENSG00000173320,,
chr11,118790323,118798093,+,3.13,2.25,0.48,4.26,3.05,0.48,6.28,1.89,1.73,5.04,2.27,-1.15,23.58,289.76,-3.62,4.06,3.06,0.41,2.71,5.48,-1.02,1.92,1.98,-0.05,DDX6,ENSG00000110367,,
chr8,144825544,144827244,+,2.30,1.73,0.41,2.15,1.75,0.30,4.60,1.03,2.16,2.52,1.42,-0.83,23.57,169.36,-2.85,1.97,1.29,0.61,0.99,2.75,-1.47,2.95,1.47,1.01,LOC100130027,,,
chr15,68753111,68757028,+,3.33,1.14,1.54,5.25,2.00,1.39,4.28,1.12,1.93,3.69,3.06,-0.27,23.56,209.24,-3.15,3.49,1.29,1.44,3.81,3.57,0.09,1.02,0.72,0.52,MIR4312,ENSG00000265195,,
chr11,66251980,66258508,+,2.35,1.61,0.54,2.30,1.67,0.46,7.41,1.68,2.14,2.38,1.39,-0.77,23.55,147.38,-2.65,2.55,2.06,0.31,1.44,2.99,-1.05,2.84,1.61,0.82,KLC2,ENSG00000174996,,
chr8,79610291,79611389,+,1.65,1.17,0.49,2.49,2.46,0.02,3.73,1.65,1.18,2.76,1.20,-1.20,23.55,250.71,-3.41,1.81,1.24,0.54,1.88,4.00,-1.09,1.40,0.90,0.63,STMN2,ENSG00000104435,,
chr14,70641127,70643621,+,1.65,1.30,0.35,2.68,1.92,0.48,3.43,1.74,0.98,3.70,0.88,-2.07,23.52,386.16,-4.04,1.85,1.30,0.51,1.84,5.01,-1.45,1.29,0.91,0.50,TTC9,ENSG00000133985,,
chr21,44838588,44839298,+,2.41,1.14,1.08,2.29,1.64,0.48,5.00,1.99,1.33,2.82,1.26,-1.16,23.51,481.45,-4.36,2.26,1.43,0.66,1.01,3.13,-1.63,2.25,1.13,0.99,SUMO3,ENSG00000184900,,
chr1,31829644,31832845,+,1.82,1.63,0.15,2.31,2.50,-0.11,4.08,1.48,1.47,4.03,1.30,-1.64,23.49,760.85,-5.02,1.79,1.38,0.37,1.27,4.24,-1.74,1.25,0.94,0.41,SPOCD1,ENSG00000134668,,
chr8,38726989,38728777,+,2.60,1.74,0.57,3.33,2.25,0.57,4.23,1.36,1.64,4.11,1.94,-1.08,23.44,400.27,-4.09,2.99,1.66,0.85,2.01,5.69,-1.50,1.25,1.01,0.30,TACC1,ENSG00000147526,,
chr2,199485624,199486100,+,5.04,1.81,1.47,6.60,3.05,1.11,2.98,1.47,1.03,4.13,4.36,0.08,23.43,166.18,-2.83,5.16,1.56,1.72,4.16,4.62,-0.15,1.11,1.07,0.06,SATB2,ENSG00000119042,,
chr7,55015264,55020204,+,3.59,1.88,0.94,4.95,1.82,1.44,5.66,1.82,1.64,2.82,3.01,0.10,23.41,288.69,-3.62,4.33,1.41,1.62,3.18,4.27,-0.43,3.33,1.64,1.02,EGFR,ENSG00000146648,,
chr5,55207130,55208897,+,3.51,1.85,0.93,5.33,3.17,0.75,3.54,1.38,1.36,5.75,3.40,-0.76,23.41,330.04,-3.82,3.54,1.77,1.00,3.04,5.90,-0.96,1.01,1.04,-0.05,MCIDAS,ENSG00000234602,,
chr17,65193448,65197206,+,1.96,1.96,0.00,2.96,2.58,0.20,4.62,1.66,1.48,3.56,1.81,-0.98,23.40,536.97,-4.52,2.57,1.47,0.81,1.73,5.17,-1.58,1.53,1.11,0.46,RGS9,ENSG00000108370,,
chr9,35888490,35889798,+,2.92,1.09,1.42,4.40,2.31,0.93,4.04,0.98,2.04,3.36,2.76,-0.28,23.39,279.32,-3.58,3.32,1.25,1.41,3.00,3.46,-0.21,1.05,0.79,0.40,HRCT1,ENSG00000196196,,
chr8,38769988,38772517,+,3.51,3.11,0.17,4.53,4.35,0.06,5.29,1.72,1.62,6.98,2.61,-1.42,23.37,270.78,-3.53,4.14,3.54,0.23,2.60,9.92,-1.93,1.78,1.39,0.36,TACC1,ENSG00000147526,,
chr2,176652151,176654036,+,4.94,3.35,0.56,7.59,5.60,0.44,3.79,2.90,0.38,10.41,4.69,-1.15,23.36,343.99,-3.88,4.81,3.14,0.62,4.53,13.69,-1.60,1.50,1.11,0.44,LINC01117,ENSG00000224577,,
chr6,157343897,157346774,+,2.87,1.10,1.39,3.87,1.98,0.97,3.41,1.31,1.39,2.80,2.14,-0.39,23.35,344.36,-3.88,3.05,1.32,1.21,2.45,3.92,-0.67,1.25,0.88,0.50,TMEM242,ENSG00000215712,,
chr15,62382951,62390992,+,4.32,1.89,1.19,6.08,2.67,1.19,6.11,1.61,1.92,4.42,3.41,-0.37,23.30,165.00,-2.82,5.15,1.82,1.50,4.03,5.53,-0.46,2.71,1.70,0.67,MIR6085,ENSG00000275451,,
chr10,101161348,101162850,+,2.70,1.86,0.54,3.71,2.51,0.56,4.71,2.22,1.08,4.16,2.02,-1.04,23.29,345.78,-3.89,2.40,1.61,0.58,2.04,5.26,-1.37,1.48,0.95,0.64,LINC01514,ENSG00000237579,,
chr12,32396396,32404163,+,3.57,2.29,0.64,4.84,3.03,0.67,7.62,1.44,2.41,4.32,3.00,-0.53,23.29,318.87,-3.77,4.79,1.72,1.48,3.72,5.44,-0.55,2.63,1.52,0.79,FGD4,ENSG00000139132,,
chr12,48888338,48898008,+,1.71,1.55,0.14,2.40,2.09,0.20,5.37,1.72,1.64,3.07,1.44,-1.09,23.29,359.53,-3.95,1.89,1.68,0.17,1.51,3.92,-1.38,1.44,0.97,0.57,CCDC65,ENSG00000139537,,
chr17,50541546,50544413,+,1.87,2.14,-0.20,1.96,2.53,-0.37,5.82,2.68,1.12,3.73,1.29,-1.53,23.26,561.90,-4.59,1.50,1.72,-0.20,1.38,4.10,-1.57,2.55,1.55,0.71,SPATA20,ENSG00000006282,,
chr4,139880776,139884669,+,4.86,0.90,2.43,7.80,1.46,2.42,3.22,1.29,1.32,3.28,4.33,0.40,23.26,84.85,-1.87,4.77,1.01,2.24,4.73,3.09,0.62,1.48,0.84,0.81,MGST2,ENSG00000085871,,
chr8,79612374,79613454,+,1.59,1.16,0.45,2.74,2.42,0.18,3.90,1.73,1.17,2.62,1.40,-0.90,23.25,264.30,-3.51,1.88,1.20,0.65,2.06,4.08,-0.99,1.33,0.94,0.50,STMN2,ENSG00000104435,,
chr9,121219048,121223023,+,2.36,1.41,0.74,3.25,2.46,0.40,4.05,1.00,2.01,3.06,1.95,-0.65,23.25,212.82,-3.19,2.52,1.42,0.83,1.89,5.64,-1.58,1.02,0.93,0.13,RAB14,ENSG00000119396,,
chr15,52527664,52530354,+,4.49,2.66,0.75,4.93,2.53,0.96,5.10,1.90,1.42,4.51,2.55,-0.82,23.22,199.03,-3.10,4.16,2.52,0.72,2.90,5.95,-1.04,3.45,2.20,0.65,MYO5A,ENSG00000197535,,
chr17,35457770,35461897,+,3.54,2.95,0.26,4.88,4.95,-0.02,3.77,2.12,0.83,7.59,2.63,-1.53,23.21,572.69,-4.62,3.76,2.43,0.63,2.97,9.76,-1.72,0.97,0.88,0.14,SLFN13,ENSG00000154760,,
chr1,212478876,212482995,+,4.15,3.64,0.19,4.73,4.73,0.00,4.72,2.65,0.83,7.69,3.17,-1.28,23.20,625.19,-4.75,3.85,3.73,0.04,3.12,10.00,-1.68,1.84,2.09,-0.18,NENF,ENSG00000117691,,
chr4,84362492,84365850,+,3.98,1.28,1.63,6.31,2.47,1.35,4.58,1.00,2.20,3.12,3.74,0.26,23.19,184.47,-2.99,5.31,1.30,2.03,4.04,3.87,0.06,2.96,1.04,1.50,LOC101928978,ENSG00000250546,,
chr16,2972509,2973837,+,5.18,2.56,1.01,3.71,2.58,0.53,8.67,3.22,1.43,3.26,2.21,-0.56,23.18,113.48,-2.29,3.78,2.38,0.67,2.37,3.42,-0.53,6.84,2.95,1.21,PAQR4,ENSG00000162073,,
chr9,114103441,114108594,+,1.97,0.96,1.05,3.79,1.27,1.58,4.96,1.10,2.17,2.35,1.96,-0.26,23.17,200.70,-3.11,2.95,1.22,1.28,2.93,2.62,0.16,1.44,0.88,0.71,KIF12,ENSG00000136883,,
chr2,201846467,201847227,+,3.27,1.16,1.50,5.40,2.20,1.29,3.85,1.02,1.91,3.44,2.65,-0.38,23.17,186.04,-3.01,3.76,1.54,1.29,2.99,3.17,-0.09,1.22,1.02,0.26,CDK15,ENSG00000138395,,
chr20,51084050,51088579,+,2.62,1.78,0.56,3.74,2.75,0.44,4.10,1.63,1.33,4.59,2.00,-1.20,23.15,326.19,-3.82,3.02,2.05,0.56,1.84,4.89,-1.41,1.33,1.41,-0.07,KCNG1,ENSG00000026559,,
chr8,84182520,84183340,+,3.31,1.91,0.79,4.64,2.99,0.64,2.53,1.48,0.77,4.12,2.65,-0.64,23.12,144.71,-2.65,3.73,2.05,0.86,3.62,6.93,-0.94,1.37,1.34,0.03,RALYL,ENSG00000184672,,
chr12,116903739,116904610,+,1.91,1.20,0.66,3.08,2.34,0.39,3.51,1.38,1.35,3.45,1.81,-0.93,23.11,396.65,-4.10,2.19,1.48,0.57,1.72,4.12,-1.26,1.29,1.27,0.02,FBXW8,ENSG00000174989,,
chr6,2897745,2900162,+,3.44,2.01,0.77,4.40,3.56,0.30,3.91,1.70,1.20,5.34,2.60,-1.04,23.08,530.82,-4.52,3.48,2.08,0.74,2.71,6.52,-1.27,1.59,0.91,0.81,SERPINB9,ENSG00000170542,,
chr2,10056644,10058160,+,2.99,1.53,0.96,2.87,2.39,0.26,5.15,1.43,1.85,3.58,1.69,-1.08,23.07,284.37,-3.62,2.52,1.49,0.76,1.66,3.26,-0.97,2.12,1.57,0.43,KLF11,ENSG00000172059,,
chr15,75305751,75307570,+,1.95,1.83,0.09,3.04,2.82,0.11,3.75,1.85,1.02,4.33,1.56,-1.48,23.05,574.12,-4.64,2.10,1.41,0.58,1.93,6.49,-1.75,1.04,0.70,0.56,GOLGA6D,ENSG00000140478,,
chr2,20437657,20441833,+,1.70,1.76,-0.05,2.77,3.15,-0.19,4.24,1.73,1.30,4.26,1.50,-1.51,23.00,516.72,-4.49,2.22,1.97,0.17,1.79,6.14,-1.78,1.60,1.27,0.33,RHOB,ENSG00000143878,,
chr19,44639220,44643615,+,2.01,1.39,0.53,1.97,2.03,-0.05,4.83,1.31,1.88,2.99,1.04,-1.53,23.00,279.35,-3.60,2.25,1.53,0.55,1.22,3.09,-1.35,1.66,1.22,0.44,PVR,ENSG00000073008,,
chr22,38877167,38882983,+,2.49,2.24,0.16,3.48,2.16,0.69,5.18,1.91,1.44,4.03,1.98,-1.02,22.98,431.96,-4.23,3.03,1.88,0.69,1.77,4.23,-1.25,2.45,1.28,0.94,CBX6,ENSG00000183741,,
chr1,46441426,46447017,+,1.36,1.65,-0.28,1.84,2.35,-0.35,4.08,2.39,0.77,3.63,1.06,-1.78,22.98,613.36,-4.74,1.30,1.35,-0.06,1.34,3.15,-1.23,1.15,1.45,-0.33,LINC01398,ENSG00000224863,,
chr17,42913616,42914956,+,2.56,2.13,0.27,3.43,3.23,0.09,4.36,1.78,1.29,5.46,2.09,-1.39,22.96,585.97,-4.67,2.78,1.85,0.59,2.19,5.93,-1.44,1.16,1.05,0.14,G6PC,ENSG00000131482,,
chr1,110670859,110676884,+,1.94,3.03,-0.64,2.46,3.74,-0.60,5.64,2.66,1.09,6.65,1.50,-2.15,22.96,452.60,-4.30,2.05,2.44,-0.25,1.50,9.05,-2.60,2.11,2.02,0.06,KCNA3,ENSG00000177272,,
chr1,65525852,65528417,+,2.18,2.14,0.03,4.39,3.61,0.28,3.48,2.93,0.25,5.89,2.28,-1.37,22.93,364.98,-3.99,2.94,2.18,0.43,2.95,8.84,-1.58,1.16,1.23,-0.09,LEPR,ENSG00000116678,,
chr11,120320393,120322489,+,2.31,1.45,0.67,2.57,2.59,-0.01,4.44,1.68,1.40,4.02,1.60,-1.33,22.92,328.13,-3.84,2.43,1.40,0.80,1.73,4.16,-1.27,1.99,1.53,0.38,TMEM136,ENSG00000181264,,
chr8,64266482,64269055,+,5.52,1.87,1.56,9.52,3.00,1.67,4.48,1.35,1.72,5.46,6.39,0.23,22.91,253.68,-3.47,6.36,1.85,1.78,7.51,9.14,-0.28,2.78,1.76,0.66,LOC102724623,ENSG00000253554,,
chr1,156573549,156577664,+,2.00,1.71,0.23,2.78,3.01,-0.12,5.86,2.41,1.28,4.29,1.51,-1.51,22.88,677.78,-4.89,2.29,1.71,0.42,1.49,4.73,-1.67,2.39,1.83,0.39,IQGAP3,ENSG00000183856,,
chr11,20274330,20280738,+,1.86,4.44,-1.26,3.06,6.32,-1.05,3.49,1.69,1.05,9.64,1.66,-2.54,22.86,490.01,-4.42,2.10,4.02,-0.94,1.93,13.66,-2.82,1.01,1.67,-0.72,HTATIP2,ENSG00000109854,,
chr2,85569500,85573527,+,1.40,1.45,-0.05,1.89,2.30,-0.29,3.80,1.83,1.05,3.54,0.89,-1.99,22.86,587.39,-4.68,1.77,1.68,0.08,1.35,5.08,-1.91,1.15,0.85,0.43,VAMP8,ENSG00000118640,,
chr12,116906143,116909298,+,2.14,1.43,0.58,3.01,2.54,0.24,3.87,1.30,1.57,3.51,1.98,-0.83,22.83,368.30,-4.01,2.54,1.44,0.82,1.77,4.45,-1.33,1.94,1.55,0.33,FBXW8,ENSG00000174989,,
chr3,186359414,186362090,+,1.13,1.36,-0.26,1.56,1.83,-0.23,3.25,1.62,1.01,2.85,0.84,-1.76,22.81,474.43,-4.38,1.29,1.37,-0.09,1.32,3.68,-1.48,1.22,0.92,0.40,DGKG,ENSG00000058866,,
chr6,157323308,157327068,+,4.23,1.87,1.18,5.15,2.85,0.85,6.15,1.75,1.82,4.63,3.06,-0.60,22.78,333.53,-3.87,4.18,2.74,0.61,3.16,5.24,-0.73,3.16,1.65,0.94,TMEM242,ENSG00000215712,,
chr11,130054854,130056691,+,2.48,1.57,0.66,4.78,2.52,0.92,3.49,1.44,1.28,4.38,2.42,-0.85,22.78,308.94,-3.76,3.26,1.61,1.02,2.92,5.25,-0.84,0.98,0.91,0.11,APLP2,ENSG00000084234,,
chr1,7956055,7958062,+,3.97,2.46,0.69,4.80,3.54,0.44,4.99,1.92,1.38,6.56,2.87,-1.19,22.77,260.19,-3.51,3.70,2.53,0.55,2.73,7.11,-1.38,2.18,1.90,0.20,PARK7,ENSG00000116288,,
chr5,60840790,60845954,+,2.93,1.35,1.11,4.43,2.76,0.68,5.53,1.76,1.65,3.96,2.22,-0.83,22.77,223.96,-3.30,3.29,1.75,0.91,2.44,4.44,-0.86,1.84,1.04,0.82,ELOVL7,ENSG00000164181,,
chr1,31548831,31550150,+,3.41,1.72,0.99,5.04,3.25,0.63,4.62,1.46,1.66,4.37,2.42,-0.85,22.76,344.85,-3.92,3.95,1.60,1.31,3.63,5.61,-0.63,1.47,1.18,0.32,TINAGL1,ENSG00000142910,,
chr16,49449686,49451657,+,2.48,1.15,1.11,3.68,2.12,0.79,4.57,1.68,1.44,3.05,1.98,-0.62,22.74,395.30,-4.12,2.83,1.49,0.92,1.94,3.97,-1.03,1.27,0.66,0.95,ADAM3B,ENSG00000260089,,
chr22,50024123,50028366,+,2.51,1.13,1.16,2.78,1.74,0.68,7.51,1.60,2.23,2.16,1.97,-0.13,22.74,354.68,-3.96,2.96,1.00,1.56,1.92,3.11,-0.69,4.11,1.42,1.54,IL17REL,ENSG00000188263,,
chr16,21550060,21558105,+,3.58,3.28,0.13,4.04,4.69,-0.22,6.42,2.66,1.27,6.55,2.47,-1.40,22.73,599.59,-4.72,3.64,2.94,0.31,3.00,8.41,-1.49,3.08,1.84,0.75,SLC7A5P2,,,
chr1,226484894,226487350,+,2.09,1.99,0.07,3.51,3.63,-0.05,3.51,2.28,0.62,4.44,1.42,-1.65,22.71,1073.12,-5.56,1.85,1.56,0.25,1.93,5.91,-1.61,1.25,1.07,0.22,STUM,ENSG00000203685,,
chr1,10975827,10984420,+,2.45,2.07,0.24,3.00,3.21,-0.10,8.59,2.12,2.02,3.47,1.80,-0.94,22.70,232.71,-3.36,2.94,2.35,0.32,1.84,4.73,-1.36,2.55,1.99,0.36,C1orf127,ENSG00000175262,,
chr1,118998819,119001064,+,2.30,5.41,-1.23,2.65,6.43,-1.28,3.12,5.39,-0.79,9.67,1.55,-2.64,22.70,925.95,-5.35,1.82,3.18,-0.80,1.47,14.10,-3.26,1.21,1.28,-0.08,LOC105378933,ENSG00000226172,,
chr8,20191159,20197162,+,2.68,2.07,0.37,3.74,3.16,0.24,4.41,1.48,1.58,5.21,2.19,-1.25,22.63,381.47,-4.08,3.11,2.64,0.23,2.55,6.52,-1.35,1.96,1.42,0.46,ATP6V1B2,ENSG00000147416,,
chr5,140166560,140175481,+,3.60,3.38,0.09,4.14,4.04,0.04,6.12,2.07,1.56,5.38,2.48,-1.12,22.62,382.64,-4.08,3.74,2.51,0.58,2.27,5.87,-1.37,2.63,1.61,0.71,CYSTM1,ENSG00000120306,,
chr14,88551712,88557806,+,5.40,2.81,0.94,8.49,4.74,0.84,5.33,1.49,1.84,7.75,5.38,-0.53,22.61,114.60,-2.34,7.39,2.87,1.37,6.79,12.67,-0.90,2.38,1.32,0.85,PTPN21,ENSG00000070778,,
chr15,52780442,52784302,+,1.85,3.10,-0.75,2.47,3.94,-0.68,3.39,4.66,-0.46,6.24,1.23,-2.34,22.61,718.85,-4.99,1.92,2.27,-0.24,1.53,8.53,-2.48,1.21,1.64,-0.44,ONECUT1,ENSG00000169856,,
chr9,121478371,121479544,+,2.31,1.17,0.98,2.78,1.73,0.69,4.59,0.97,2.25,2.86,1.55,-0.88,22.61,263.21,-3.54,2.41,1.16,1.05,1.58,3.20,-1.02,1.25,1.10,0.18,GGTA1P,ENSG00000204136,,
chr13,113098065,113100507,+,2.99,1.27,1.23,3.45,2.34,0.56,4.38,1.00,2.13,2.85,2.11,-0.44,22.58,182.77,-3.02,3.48,1.30,1.42,2.80,4.30,-0.62,1.87,1.01,0.90,F7,ENSG00000057593,,
chr5,176426111,176428473,+,2.35,1.27,0.89,3.98,2.45,0.70,4.62,1.34,1.78,4.24,2.23,-0.93,22.57,384.46,-4.09,3.31,1.52,1.12,2.31,4.76,-1.04,1.20,1.06,0.18,CLTB,ENSG00000175416,,
chr8,41249145,41251897,+,1.64,1.29,0.35,2.40,1.56,0.62,3.88,1.09,1.83,3.02,1.30,-1.22,22.57,129.87,-2.52,2.13,1.50,0.50,1.68,3.59,-1.09,1.12,1.36,-0.28,MIR548AO,ENSG00000263372,,
chr14,54894560,54895497,+,2.04,1.04,0.98,3.02,1.63,0.89,3.79,0.93,2.03,2.56,1.77,-0.53,22.56,200.23,-3.15,2.51,1.15,1.13,1.93,2.90,-0.59,1.34,0.84,0.68,GCH1,ENSG00000131979,,
chr6,36722825,36727047,+,2.28,1.52,0.58,2.72,2.35,0.21,5.66,1.72,1.72,3.36,1.55,-1.12,22.54,712.30,-4.98,2.68,1.49,0.85,1.33,3.94,-1.57,1.66,1.48,0.16,RAB44,ENSG00000255587,,
chr17,39893757,39896660,+,1.98,2.06,-0.06,3.05,3.75,-0.30,4.71,1.94,1.27,6.12,2.05,-1.58,22.54,522.12,-4.53,2.39,1.83,0.39,2.34,6.60,-1.49,1.14,0.85,0.43,GSDMB,ENSG00000073605,,
chr1,59826909,59830823,+,3.79,1.37,1.47,6.36,2.79,1.19,3.09,1.01,1.61,5.47,3.94,-0.47,22.54,265.73,-3.56,3.91,1.30,1.58,4.16,5.85,-0.49,0.90,0.68,0.40,HOOK1,ENSG00000134709,,
chr22,45072083,45074230,+,1.33,1.84,-0.47,2.05,1.95,0.08,4.05,2.22,0.87,3.12,0.77,-2.02,22.54,754.26,-5.06,1.54,1.15,0.43,1.12,4.77,-2.09,1.69,1.08,0.64,PHF21B,ENSG00000056487,,
chr15,74067017,74068659,+,2.36,1.45,0.71,2.97,1.97,0.59,3.52,1.27,1.47,2.51,1.60,-0.64,22.53,381.15,-4.08,2.46,1.10,1.15,2.07,3.77,-0.87,0.98,0.84,0.23,GOLGA6A,ENSG00000159289,,
chr1,212476917,212478689,+,3.77,3.57,0.08,4.56,4.66,-0.03,5.05,2.80,0.85,8.35,3.16,-1.40,22.52,694.86,-4.95,3.79,3.27,0.21,3.01,10.67,-1.83,1.75,2.02,-0.21,NENF,ENSG00000117691,,
chr18,13216317,13224155,+,1.86,1.44,0.37,2.42,2.51,-0.05,5.90,1.98,1.57,2.69,1.19,-1.18,22.51,379.41,-4.07,1.94,1.40,0.47,1.70,5.01,-1.56,1.98,1.30,0.60,LDLRAD4,ENSG00000168675,,
chr5,140152332,140154715,+,5.70,3.67,0.63,6.31,3.83,0.72,6.55,2.34,1.49,7.97,4.14,-0.95,22.48,406.67,-4.18,4.61,2.79,0.73,3.90,7.11,-0.87,2.55,1.66,0.62,LOC101929719,ENSG00000254363,,
chr17,81016430,81019236,+,3.88,2.03,0.93,3.62,2.46,0.56,5.55,1.57,1.82,4.00,3.11,-0.36,22.48,121.72,-2.44,4.08,2.24,0.86,2.18,4.13,-0.92,3.53,2.65,0.41,BAIAP2-DT,ENSG00000226137,,
chr1,212497639,212498512,+,3.19,2.86,0.16,4.37,4.09,0.09,3.28,2.08,0.66,6.62,2.11,-1.65,22.47,930.52,-5.37,2.29,2.30,0.00,2.06,6.49,-1.66,1.41,1.08,0.38,LINC01740,ENSG00000228067,,
chr14,69572331,69575903,+,2.54,1.95,0.38,2.81,2.01,0.48,3.99,1.30,1.62,2.91,1.23,-1.24,22.43,294.08,-3.71,1.53,1.43,0.10,1.91,3.51,-0.88,3.81,2.09,0.87,CCDC177,ENSG00000267909,,
chr18,62520215,62522031,+,5.76,2.33,1.30,6.56,2.53,1.38,3.67,1.20,1.62,3.68,4.37,0.25,22.42,116.19,-2.37,6.15,1.78,1.79,5.42,4.87,0.15,3.28,1.74,0.92,ZCCHC2,ENSG00000141664,,
chr21,45225192,45227569,+,1.62,1.07,0.60,2.67,1.71,0.64,3.78,1.11,1.77,2.64,1.59,-0.73,22.41,174.34,-2.96,2.21,0.95,1.21,1.85,2.65,-0.52,1.29,0.94,0.46,LINC00334,ENSG00000182586,,
chr1,180206617,180208714,+,3.26,6.16,-0.92,3.95,5.83,-0.56,3.73,3.53,0.08,8.71,2.35,-1.89,22.41,1864.65,-6.38,2.80,3.31,-0.24,2.27,10.17,-2.16,1.54,12.30,-3.00,FLJ23867,,,
chr8,106654018,106657633,+,5.91,1.21,2.28,9.80,2.35,2.06,5.08,1.16,2.13,2.62,5.19,0.99,22.41,98.84,-2.14,8.22,1.28,2.68,6.62,5.97,0.15,1.68,1.18,0.51,OXR1,ENSG00000164830,,
chr3,128515584,128516309,+,2.85,1.19,1.27,2.95,1.72,0.78,3.96,1.41,1.49,2.94,2.19,-0.43,22.41,310.77,-3.79,2.23,1.44,0.63,2.22,3.11,-0.49,1.12,0.74,0.60,LOC90246,,,
chr6,89425227,89428626,+,2.87,1.63,0.82,4.65,2.73,0.77,5.05,1.62,1.64,4.55,2.57,-0.83,22.40,381.86,-4.09,3.33,1.99,0.74,2.40,5.21,-1.12,1.73,1.16,0.58,ANKRD6,ENSG00000135299,,
chr1,109509522,109514238,+,2.45,1.69,0.53,2.76,2.54,0.12,5.36,1.66,1.69,3.99,1.66,-1.26,22.40,391.19,-4.13,2.65,1.47,0.85,1.75,5.12,-1.55,2.06,1.30,0.66,AMIGO1,ENSG00000181754,,
chr1,25247731,25251720,+,3.21,2.38,0.43,3.94,2.84,0.47,4.62,2.45,0.92,4.84,2.46,-0.97,22.40,241.97,-3.43,3.46,2.11,0.71,2.39,5.20,-1.12,1.86,1.87,-0.01,RSRP1,ENSG00000117616,,
chr19,33076893,33079150,+,1.85,1.01,0.87,2.89,2.33,0.31,5.94,1.36,2.13,3.46,1.56,-1.15,22.40,189.97,-3.08,2.63,1.89,0.48,1.62,3.06,-0.91,1.80,1.25,0.52,GPATCH1,ENSG00000076650,,
chr1,226546217,226552701,+,3.57,4.24,-0.25,4.33,4.81,-0.15,8.80,3.70,1.25,6.66,2.31,-1.53,22.38,460.04,-4.36,3.35,4.07,-0.28,2.29,7.49,-1.71,5.27,4.35,0.28,STUM,ENSG00000203685,,
chr21,42037706,42041235,+,2.57,1.84,0.48,3.48,2.06,0.75,4.57,1.40,1.71,3.23,1.71,-0.92,22.36,315.68,-3.82,2.60,1.74,0.58,1.67,3.63,-1.12,2.09,1.60,0.38,ZNF295-AS1,ENSG00000237232,,
chr15,74560573,74561892,+,2.14,0.79,1.44,3.76,1.40,1.42,4.33,0.88,2.30,1.98,2.43,0.29,22.36,47.25,-1.08,2.83,1.11,1.35,2.00,1.97,0.02,1.42,0.96,0.57,ARID3B,ENSG00000179361,,
chr14,99682672,99687620,+,2.46,1.57,0.65,2.90,1.91,0.60,5.61,1.35,2.05,2.34,1.90,-0.30,22.36,311.52,-3.80,3.06,1.29,1.24,1.91,3.51,-0.87,2.12,1.22,0.80,CYP46A1,ENSG00000036530,,
chr21,31868870,31876311,+,3.60,2.06,0.80,3.36,2.47,0.44,7.45,1.78,2.06,3.28,1.90,-0.79,22.35,275.53,-3.62,3.66,1.96,0.90,2.61,4.98,-0.93,3.95,2.32,0.77,HUNK,ENSG00000142149,,
